title,patent_number
Method and a system for automated book-keeping,US-7430530-B2
Method and a system for trading stripped bonds,US-8165950-B2
Method and apparatus for a payment card system,US-8195568-B2
Method and apparatus for bundled asset trading,US-6035287-A
Method and apparatus for managing transactions,US-8229850-B2
Method and apparatus for managing transactions,US-8249983-B2
Method and apparatus for managing transactions,US-8266065-B2
Method and apparatus for managing transactions,US-8255336-B2
Method and apparatus for scheduling a resource,US-7813993-B1
Method and apparatus for tax refund allocation,US-8370228-B1
Method and apparatus for tax refund allocation,US-8429039-B1
Method and device for storing transaction data,US-5615133-A
Method and system for conditional transactions,US-7877297-B2
Method and system for distributing receivables,US-7249090-B1
Method and system for estimating unpaid claims,US-8315888-B2
Method and system for logging vehicle behavior,US-9633487-B2
Method and system for logging vehicle behavior,US-9311271-B2
Method and system for processing a transaction,US-7527194-B2
Method and system for processing a transaction,US-7080049-B2
Method and system for property damage analysis,US-9158869-B2
Method and system for property damage analysis,US-9721264-B2
Method for determining a position of an object,US-7440868-B2
Method for smartphone-based accident detection,US-9994218-B2
Method for smartphone-based accident detection,US-9818239-B2
Method for trading and clearing variance swaps,US-8606680-B2
Method of diagnosing operating characteristics,US-9449437-B2
Method of hedging retail transactions for fuel,US-8412613-B2
Method of selecting securities for a portfolio,US-7206760-B1
Methods and apparatus for funding transactions,US-7702559-B2
Methods and apparatuses for string translation,US-7366653-B2
Methods and systems for financial transactions,US-8504470-B1
Methods and systems for financial transactions,US-8660943-B1
Methods and systems for protection of identity,US-7991201-B2
Methods and systems for protection of identity,US-7689007-B2
Methods and systems for protection of identity,US-9087214-B2
Methods and systems for protection of identity,US-8520904-B2
Methods and systems related to trading engines,US-8412620-B1
Methods and systems related to trading engines,US-8108299-B1
Methods and systems related to trading engines,US-8374955-B1
Methods and systems related to trading engines,US-8156036-B1
Methods for financing renewable energy systems,US-7904382-B2
Mobile device for printing on pre-tagged media,US-7715036-B2
Money transfer smart phone methods and systems,US-9659293-B2
Money transfer smart phone methods and systems,US-8458088-B2
Mortgage loan customization system and process,US-7089503-B1
Multi-attribute auction methodology and system,US-7200570-B1
Music purchasing and playing system and method,US-7672873-B2
On-premise renewable generation securitization,US-7809621-B2
Online computation of market equilibrium price,US-7958040-B2
Operation support system for wireless networks,US-8498612-B2
Optimizing portfolios of financial instruments,US-8401950-B2
Organization-segment-based risk analysis model,US-8359284-B2
Patient treatment and progress monitor display,US-8027846-B2
Penalty and interest assessment detail display,US-9576324-B2
Person-to-person payments: contextual spending,US-8655780-B2
Person-to-person payments: contextual spending,US-8380624-B2
Personal finance integration system and method,US-7853493-B2
Personal finance integration system and method,US-8355967-B2
Position-keeping in a multi-market environment,US-8671047-B2
Price improvement in electronic trading system,US-7742975-B2
Price improvement in electronic trading system,US-8335737-B2
Privacy preserving negotiation and computation,US-6834272-B1
Probabilistic model for cyber risk forecasting,US-9680855-B2
Process for creating a trading partner profile,US-7216101-B2
Process for determining an auction methodology,US-7475034-B2
Product and coverage review and recommendation,US-9712509-B1
Project docket management apparatus and method,US-6970842-B1
Radio frequency based remote health monitoring,US-9477939-B2
Read head device with narrow card reading slot,US-8302860-B2
Remote deposit capture for the gaming industry,US-8300917-B2
Resource consumption template processing model,US-8701117-B2
Routing and processing of payment transactions,US-10002348-B1
Sales transactions for transfer of commodities,US-6950806-B2
Screening using a personal identification code,US-8234498-B2
Secure access to transaction based information,US-7890394-B2
Secure and efficient payment processing system,US-7742967-B1
Secure and efficient payment processing system,US-8676694-B2
Secured online financial transaction text chat,US-8156324-B1
Securitized real-property-related asset system,US-7865416-B1
Securitized-real-property-related asset system,US-8510190-B1
Security means for transaction terminal system,US-4025760-A
Simplified checkbook balancing computer system,US-5337263-A
Single tap transactions using a secure element,US-8630905-B2
Spending and savings secondary linked accounts,US-7945512-B2
"Stored, temporary alteration of business logic",US-7860777-B2
Supply chain risk management method and device,US-8626558-B2
Syntactic tagging in a domain-specific context,US-9471664-B2
Syntactic tagging in a domain-specific context,US-9069802-B2
System and method for activity based margining,US-7769667-B2
System and method for activity based margining,US-8694417-B2
System and method for activity based margining,US-7996302-B2
System and method for activity based margining,US-8311934-B2
System and method for activity based margining,US-8595126-B2
System and method for activity based margining,US-8117115-B2
System and method for analysis of imagery data,US-6768811-B2
System and method for connecting money modules,US-6047887-A
System and method for distributing information,US-7328163-B2
System and method for distributing information,US-8131650-B2
System and method for dynamic order management,US-8311921-B2
System and method for enforcing a vehicle code,US-7463896-B2
System and method for financial transformation,US-9092824-B2
System and method for interactive offer system,US-7702560-B1
System and method for loan guarantee insurance,US-8548829-B1
System and method for managing website scripts,US-9741059-B1
System and method for merchant risk management,US-8027912-B1
System and method for multi-state tax analysis,US-7970683-B2
System and method for performing risk analysis,US-7647263-B2
System and method for preventing cross trading,US-7606748-B1
System and method for preventing cross trading,US-8543482-B2
System and method for preventing cross trading,US-7552073-B1
System and method for preventing cross trading,US-7844524-B1
System and method for preventing cross trading,US-8046284-B2
System and method for preventing cross trading,US-8301532-B2
System and method for preventing cross trading,US-8799130-B2
System and method for providing workup trading,US-7949599-B1
System and method for providing workup trading,US-7831504-B1
System and method for pseudo cash transactions,US-5913203-A
System and method for real time text streaming,US-9535891-B2
System and method for recreating tax documents,US-8099341-B2
System and method for securing digital content,US-7496540-B2
System and method for service level management,US-9509524-B2
System and method for tracking a billing cycle,US-8032432-B2
System and method for tracking a billing cycle,US-7606745-B1
System and method for universal instant credit,US-8352370-B1
System and method of over-the-air provisioning,US-8083140-B1
System and method utilizing device information,US-8589291-B2
System for and method of international pooling,US-8380601-B2
System for facilitating medical waste disposal,US-7620559-B2
System for location based transaction security,US-8429086-B2
System for mending through automated processes,US-10049155-B2
System for processing unpaid healthcare claims,US-7720700-B2
Systems and methods for application processing,US-8234191-B1
Systems and methods for application processing,US-8447678-B1
Systems and methods for automatic payment plan,US-8744962-B1
Systems and methods for automatic payment plan,US-8275708-B1
Systems and methods for controlling portfolios,US-8660928-B2
Systems and methods for controlling portfolios,US-8095446-B2
Systems and methods for credit line monitoring,US-6873972-B1
Systems and methods for insurance underwriting,US-7831451-B1
Systems and methods for insurance underwriting,US-8326657-B2
Systems and methods for insurance verification,US-8650051-B2
Systems and methods for point of sale deposits,US-10002346-B1
Systems and methods for point of sale deposits,US-9836727-B1
Systems and methods for point of sale deposits,US-10013683-B2
Systems and methods for point of sale deposits,US-9836728-B1
Systems and methods for point of sale deposits,US-9940609-B2
Systems and methods for providing a roof guide,US-9384510-B2
Systems and methods for quantifying flood risk,US-8655595-B1
Systems and methods for quantifying flood risk,US-9213994-B2
Systems and methods for remote deposit service,US-8417629-B1
Systems and methods for routing trading orders,US-8583540-B2
Systems and methods for sharing excess profits,US-8429056-B2
Systems and methods for streamlined purchasing,US-8620797-B1
Systems and methods relating to bond liquidity,US-8346647-B1
Systems and methods to accelerate transactions,US-9519892-B2
Technique for collecting financial information,US-9817679-B1
Technology budget manager for mobile employees,US-8275698-B2
Tokenless biometric electric check transaction,US-6230148-B1
Tracking location of portable computing device,US-9679154-B2
Traffic reduction in networked data collection,US-7010503-B1
Two step near field communication transactions,US-9558485-B2
User interface for a financial advisory system,US-6012044-A
User interface for a financial advisory system,US-7774257-B2
User interface for a financial advisory system,US-5918217-A
User interface for a financial modeling system,US-7818233-B1
Video game with venture capital funding voting,US-7651395-B2
Virtual electronic paymaster method and system,US-8738480-B2
Visible representation of stock market indices,US-7928982-B1
Visual cues for identifying financial accounts,US-8260693-B2
Word processor utilizing image inputting means,US-5129053-A
Adaptive closed loop investment decision engine,US-8626631-B2
Apparatus and methods for handling trading data,US-7653579-B2
Apparatus and methods for handling trading data,US-7433837-B2
Apparatus and methods for handling trading data,US-8001027-B2
Apparatus and methods for handling trading data,US-8301531-B2
Apparatus and process for calculating an option,US-7024384-B2
Apparatus and process for calculating an option,US-6263321-B1
Apparatus of a wireless electronic account book,US-6484023-B1
Approaches to location based merchant financing,US-9984412-B1
Architecture for secure reverse mobile commerce,US-7668754-B1
Auction market with price improvement mechanism,US-7617144-B2
Auction market with price improvement mechanism,US-7590593-B2
Auction market with price improvement mechanism,US-7162448-B2
Auction negotiation support systems and methods,US-7653575-B2
Authentication processor using a signature part,US-7467301-B2
Automated banking machine and monitoring method,US-8474703-B1
Automated banking machine and monitoring method,US-8474704-B1
Automated document processing system and method,US-6810137-B2
Automated execution system having participation,US-7653584-B2
Automated processing of travel related expenses,US-6009408-A
Automated tax return with universal data import,US-7747484-B2
Automated transaction machine system and method,US-7341177-B2
Check printing instructions in ACH transactions,US-8655783-B1
Combined estimate contest and prediction market,US-8229824-B2
Communication across multiple game applications,US-7613800-B2
Compilation and analysis of company information,US-8082208-B2
Computer-facilitated secure account-transaction,US-8719128-B2
Consolidated commercial paper system and method,US-8010445-B1
"Content quality apparatus, systems, and methods",US-7716228-B2
Contingent wellness benefits for life insurance,US-8515785-B2
Controlled creation of reports from table views,US-9760544-B2
Controlled creation of reports from table views,US-9015073-B2
Convertible home-equity based financial product,US-8019677-B1
Creating a scene for property claims adjustment,US-9824397-B1
Creating a scene for property claims adjustment,US-10062120-B1
Credit portfolio benchmarking system and method,US-7904367-B2
Credit portfolio benchmarking system and method,US-8001034-B2
Credit portfolio benchmarking system and method,US-7676418-B1
Currency system to reward constructive behavior,US-8412608-B2
Currency weighted cross border listing exposure,US-8429020-B2
Delivering financial services to remote devices,US-8543982-B2
Delivering financial services to remote devices,US-9129279-B1
Determining mobile operators for mobile devices,US-9721279-B2
Device and method for building claim assessment,US-9002719-B2
Devices and methods for disaster-relief support,US-8548911-B2
Digital print procurement using reverse auction,US-8156033-B2
Digital transactional procedures and implements,US-9471906-B2
Diversification measurement and analysis system,US-8156030-B2
Economic calculations in process control system,US-7720727-B2
Electronic funds transfer authentication system,US-8666893-B1
Electronic health record transaction monitoring,US-8423382-B2
Electronic inquiry lists for financial products,US-7499883-B2
Electronic inquiry lists for financial products,US-8195558-B2
Electronic retail financial transaction manager,US-9202216-B2
Electronic trading among principals and brokers,US-8886561-B2
Electronic trading for principal/broker trading,US-8494949-B2
Emergency call load management for call centers,US-7016485-B2
Enforcement of network service level agreements,US-8275711-B2
Enforcement of network service level agreements,US-7818252-B2
Estimating financial valuation of benefit plans,US-7617138-B1
Evaluating a questionable network communication,US-9674145-B2
Evaluating a questionable network communication,US-9912677-B2
Executing transactions secured user credentials,US-9106647-B2
Executing transactions secured user credentials,US-8430325-B2
Financial management system and related methods,US-7835976-B2
Financial management system and related methods,US-8099354-B2
Fluidized catalytic cracker riser quench system,US-9102889-B2
Framework for processing sales transaction data,US-7925513-B2
Fraud analysis for a location aware transaction,US-9053513-B2
Game theoretic prioritization system and method,US-9311670-B2
Global asset risk management system and methods,US-7343303-B2
Goal-directed financial asset management system,US-5126936-A
Graph creation method and graph creation device,US-8928664-B2
Health services delivery system with incentives,US-7890346-B2
Health services delivery system with incentives,US-7672857-B2
Healthcare eligibility and benefits data system,US-7805322-B2
Immediate recognition of financial transactions,US-8032415-B2
Incremental-click analysis of keyword searching,US-7752191-B2
Independent annuity placement system and method,US-8352293-B2
Independent annuity placement system and method,US-7653560-B2
Independent annuity placement system and method,US-8762182-B2
Insurance product and related system and method,US-8275639-B2
Intellectual property library management system,US-6687710-B1
Intelligent digital audiovisual playback system,US-7188352-B2
Interactive international bulk trade television,US-8095423-B2
Interface and associated bank customer database,US-5712987-A
Internet capable browser dispenser architecture,US-6741909-B2
Internet capable browser dispenser architecture,US-8761924-B2
Internet capable browser dispenser architecture,US-7546251-B1
Internet capable browser dispenser architecture,US-6052629-A
Internet capable browser dispenser architecture,US-6275746-B1
Investment portfolio tracking system and method,US-7165044-B1
Licensed professional scoring system and method,US-8036919-B2
Licensed professional scoring system and method,US-8335700-B2
Low latency financial data network architecture,US-9208523-B2
Managing delivery of application server content,US-8713103-B2
Managing delivery of application server content,US-9471941-B2
Mass customization for management of healthcare,US-8799023-B2
Media wall for displaying financial information,US-7082398-B1
Media wall for displaying financial information,US-7778842-B2
Method and apparatus for a new accounts program,US-7778902-B2
Method and apparatus for certification of facts,US-9852376-B2
Method and apparatus for certification of facts,US-9064238-B2
Method and apparatus for managing credit limits,US-7844518-B1
Method and apparatus for performing assessments,US-8032400-B2
Method and apparatus for performing assessments,US-7720698-B1
Method and apparatus for session reconstruction,US-6963912-B1
Method and apparatus for transaction management,US-8706575-B2
Method and apparatus for wireless authorization,US-8336770-B2
Method and system for accessing travel services,US-6959298-B1
Method and system for assessing repurchase risk,US-7783565-B1
Method and system for assessing repurchase risk,US-7885892-B1
Method and system for banking using coded forms,US-8121919-B2
Method and system for direct payroll processing,US-6347306-B1
Method and system for duplicate check detection,US-8639017-B1
Method and system for duplicate check detection,US-8391584-B2
Method and system for enterprise-wide migration,US-7685027-B2
Method and system for enterprise-wide migration,US-7725352-B2
Method and system for enterprise-wide migration,US-8793368-B2
Method and system for issuing letters of credit,US-7877324-B2
Method and system for managing service accounts,US-8725605-B1
Method and system for multi-dimensional trading,US-7406443-B1
Method and system for multiuse redemption cards,US-8843407-B2
Method and system for preventing vehicle thefts,US-7049942-B2
Method and system for risk control optimization,US-6876992-B1
Method and system for selecting a sales channel,US-7440908-B2
Method and system for transferring stored value,US-7769686-B2
Method and system for transferring stored value,US-7930246-B2
Method and system for valuing intangible assets,US-7657476-B2
Method and system of facilitating a transaction,US-8732027-B2
Method and system to facilitate on-line trading,US-8463652-B2
Method and system to facilitate on-line trading,US-8463692-B2
Method for charting financial market activities,US-7043449-B1
Method for evaluating a forward-buy opportunity,US-7454374-B2
Method for managing a home equity sales program,US-8725616-B2
Method for managing a home equity sales program,US-7516099-B2
Method for managing customer financial accounts,US-7464056-B1
Method for online purchasing using printed form,US-8010414-B2
Method for providing bank card transaction data,US-6230145-B1
Method for remote medical consultation and care,US-7860725-B2
Method for remote medical consultation and care,US-8285560-B2
Method for retrieving data stored in a database,US-8588729-B2
Method for sensing the orientation of an object,US-7187370-B2
Method for sensing the orientation of an object,US-7245294-B2
Method of adaptive browsing for digital content,US-7783497-B2
Method of adaptive browsing for digital content,US-9600580-B2
Method of care assessment and health management,US-7493264-B1
Method of generating and displaying stock index,US-7620582-B2
Method of grouping and analyzing clinical risks,US-8571892-B2
Method of lottery wagering on real-world events,US-8574055-B2
Method of lottery wagering on real-world events,US-8579694-B2
Method of lottery wagering on real-world events,US-8182328-B2
Method of lottery wagering on real-world events,US-8944905-B2
Method of maximizing accounts payable discounts,US-7376616-B2
Method of optimum auction using network service,US-8121927-B2
Method of performing data searches on a network,US-7324989-B2
Method of producing narrative analytical report,US-4992939-A
Methods and systems for characteristic leveling,US-7801812-B2
Methods and systems for characteristic leveling,US-7974919-B2
Methods and systems for identity authentication,US-7945511-B2
Methods and systems for identity authentication,US-8271381-B2
Methods and systems for managing financial data,US-8768809-B1
Methods and systems for processing transactions,US-9978199-B2
Methods and systems for purchase of commodities,US-7991685-B2
Methods and systems for purchase of commodities,US-7840475-B2
Methods for selling insurance using hybrid life,US-8209198-B2
Mobile phone ATM processing methods and systems,US-9401077-B2
Mobile phone ATM processing methods and systems,US-9659294-B2
Mobile phone ATM processing methods and systems,US-9911120-B2
Mobile phone ATM processing methods and systems,US-9412106-B2
Mobile phone ATM processing methods and systems,US-8632000-B2
"Momentum investment system, process and product",US-7020629-B1
Monetary receipt and payment managing apparatus,US-4001568-A
Multiple auction coordination method and system,US-6415270-B1
Multiple coupon interest rate futures contracts,US-8738503-B2
Multiple-entity transaction systems and methods,US-8799154-B2
Multiple-entity transaction systems and methods,US-8032452-B2
Online auction bid management system and method,US-7225151-B1
Online investment trust creation and management,US-7454376-B1
Online transaction hosting apparatus and system,US-7617128-B2
Participation profiles of virtual world players,US-8060829-B2
Payment transaction using mobile phone as relay,US-8589300-B2
Payment transaction using mobile phone as relay,US-8219490-B2
Persistent sales agent for complex transactions,US-8060386-B2
Platform for valuation of financial instruments,US-8566222-B2
Portfolio accounting and risk management system,US-7464052-B1
Portfolio management analysis system and method,US-8321320-B1
Post-authorization transaction bundling control,US-9613183-B2
Processing of trades that exceed warning limits,US-7519555-B2
Providing a record of an interactive conference,US-9754320-B2
Real estate appraisal using predictive modeling,US-5361201-A
Recommending keywords based on bidding patterns,US-7689548-B2
Recording system for job-accounting information,US-3648243-A
Recursive query for communications network data,US-7599351-B2
Recursive query for communications network data,US-9124722-B2
Remote health monitoring and maintenance system,US-7624028-B1
Remote health monitoring and maintenance system,US-8489428-B2
Remote health monitoring and maintenance system,US-7853455-B2
Remote health monitoring and maintenance system,US-7761312-B2
Remote health monitoring and maintenance system,US-7941323-B2
Retail lending risk related scenario generation,US-7469227-B2
Risk mitigation in an electronic trading system,US-10002388-B2
Rule authoring for events in a grid environment,US-9361648-B2
Rule authoring for events in a grid environment,US-8732108-B2
Rules engine for mailpiece content modification,US-8099444-B2
Sealing gap formed by assembled connector parts,US-7594821-B1
Secure electronic procurement system and method,US-7054844-B2
Secure transaction processing system and method,US-7536353-B2
Secure transaction processing system and method,US-7127427-B1
Secured online financial transaction voice chat,US-8156323-B1
Structured finance performance analytics system,US-7966234-B1
Structured finance performance monitoring index,US-7346570-B2
Subscription within workflow management systems,US-6122633-A
Sy based integrated policy and charging control,US-9495706-B2
System and method for a merchant loyalty system,US-8155999-B2
System and method for a merchant loyalty system,US-8639568-B2
System and method for a utility financial model,US-8626643-B2
System and method for acquiring a mortgage loan,US-8065225-B1
System and method for analyzing business events,US-7765557-B2
System and method for automated credit matching,US-6957192-B1
System and method for bid archive and retrieval,US-7783554-B1
System and method for categorizing transactions,US-7778933-B2
System and method for categorizing transactions,US-7437330-B1
System and method for conducting a time auction,US-6519570-B1
System and method for creating financial assets,US-7856397-B2
System and method for creating financial assets,US-8195564-B2
System and method for de-risking a pension fund,US-8725618-B1
System and method for determining loss reserves,US-8452621-B1
System and method for estimating a spread value,US-8239314-B2
System and method for estimating a spread value,US-7813995-B2
System and method for estimating a spread value,US-7542940-B2
System and method for estimating order position,US-8762254-B2
System and method for estimating order position,US-7882012-B1
System and method for estimating order position,US-7809628-B1
System and method for estimating order position,US-8126801-B2
System and method for estimating order position,US-8380615-B2
System and method for evaluating fraud suspects,US-8775284-B1
System and method for execution delayed trading,US-8484121-B2
System and method for finance-based competition,US-7685034-B1
System and method for investing public deposits,US-8359267-B1
System and method for investing public deposits,US-8150766-B1
System and method for investing public deposits,US-8719157-B1
System and method for investing public deposits,US-8712911-B1
System and method for managing healthcare costs,US-7765117-B2
System and method for managing healthcare costs,US-7672887-B2
System and method for managing healthcare costs,US-8589274-B2
System and method for managing investment funds,US-8341061-B2
System and method for managing investment funds,US-8712899-B2
System and method for managing investment funds,US-7962395-B2
System and method for managing related accounts,US-8788413-B2
System and method for matching wireless devices,US-7599715-B2
System and method for merging mobile gift cards,US-8429047-B2
System and method for networked loyalty program,US-9842345-B2
System and method for networked loyalty program,US-7496524-B2
System and method for networked loyalty program,US-7813955-B2
System and method for networked loyalty program,US-7428498-B2
System and method for networked loyalty program,US-8458026-B2
System and method for networked loyalty program,US-8626582-B2
System and method for networked loyalty program,US-8065182-B2
System and method for networked loyalty program,US-7613628-B2
System and method for networked loyalty program,US-7398225-B2
System and method for networked loyalty program,US-8024220-B2
System and method for networked loyalty program,US-7398226-B2
System and method for payment of medical claims,US-7925518-B2
System and method for performing ratio planning,US-7149739-B1
System and method for portfolio synchronization,US-9679335-B2
System and method for predicting profit leakage,US-7930224-B2
System and method for pricing default insurance,US-7818242-B1
System and method for pricing default insurance,US-7774255-B2
System and method for processing trading orders,US-8380610-B1
System and method for providing a linear spread,US-8510213-B2
System and method for providing a linear spread,US-8280803-B2
System and method for providing a linear spread,US-8051001-B1
System and method for providing a linear spread,US-7577608-B1
System and method for providing group dividends,US-8688481-B2
System and method for quick quote configuration,US-7599880-B1
System and method for quick quote configuration,US-8583543-B2
System and method for quick quote configuration,US-7542938-B1
System and method for quick quote configuration,US-8195561-B2
System and method for quick quote configuration,US-8352356-B2
System and method for quick quote configuration,US-7844541-B2
System and method for quick quote configuration,US-10055789-B2
System and method for remote collection of data,US-7315978-B2
System and method for securing a credit account,US-7753265-B2
System and method for securing a credit account,US-7264154-B2
System and method for securing a credit account,US-8074879-B2
System and method for updating stop loss orders,US-7555449-B2
System and method of controlling an HVAC system,US-7343226-B2
System and method of controlling an HVAC system,US-7130719-B2
System for determining election reauthorization,US-8332296-B1
System for retrieving data stored in a database,US-8547199-B2
System for secure transfer of online privileges,US-8192286-B2
System for the operation of a financial account,US-4953085-A
System to provide buyer wanted request listings,US-7937293-B2
Systems and methods for a network analyzer tool,US-8700426-B2
Systems and methods for corporate share buyback,US-7539642-B2
Systems and methods for mainframe batch testing,US-9916234-B1
Systems and methods for managing expert content,US-8150750-B2
Systems and methods for managing global warning,US-9152994-B2
Systems and methods for online document sign-up,US-8856639-B1
Systems and methods for processing pricing data,US-8112335-B2
Systems and methods for processing transactions,US-9619800-B1
Systems and methods for proximate event capture,US-10023201-B1
Systems and methods for supply chain management,US-7711602-B2
Systems and methods of assisted strategy design,US-8930262-B1
Systems and methods that facilitate data mining,US-7398268-B2
Time-of-transaction foreign currency conversion,US-8626660-B2
Time-of-transaction foreign currency conversion,US-7660768-B2
"Trade financing method, instruments and systems",US-7155409-B1
Transaction workflow and data collection system,US-7337950-B2
Transforming and storing messages in a database,US-8572134-B2
User interface for an electronic trading system,US-8185467-B2
User interface for an electronic trading system,US-7212999-B2
User interface for an electronic trading system,US-9189815-B2
User interface for an electronic trading system,US-8175955-B2
User interface for an electronic trading system,US-7412416-B2
User interface for an electronic trading system,US-8374952-B2
User interface for an electronic trading system,US-7752122-B2
User interface for an electronic trading system,US-7533056-B2
User interface for an electronic trading system,US-8756148-B2
Vehicle related services system and methodology,US-7188070-B2
Vehicle related services system and methodology,US-7908149-B2
Virtual structure data repository and directory,US-6826539-B2
Visualization of attributes of workflow weblogs,US-8417682-B2
Vocalisation of trading data in trading systems,US-8255317-B2
Vocalisation of trading data in trading systems,US-8024252-B2
Web-based financial reporting system and method,US-7716095-B2
Weight and diet attribute combination discovery,US-8065324-B2
Algorithmic trading management system and method,US-8442885-B1
Analytical scoring engine for remote device data,US-9785702-B1
Apparatus and a method for supplying information,US-7194468-B1
Apparatus and a method for supplying information,US-9913068-B2
Apparatus and a method for supplying information,US-9288605-B2
Apparatus and method for trading electric energy,US-6473744-B1
Apparatus and method for trading electric energy,US-6115698-A
Applying scanned information to identify content,US-8005720-B2
Arbitrage broker for online advertising exchange,US-8589233-B2
Archive of text captures from rendered documents,US-7421155-B2
Asset allocation risk and reward assessment tool,US-8341063-B1
Auction management with business-volume discount,US-8036950-B1
Auction result prediction with auction insurance,US-7904378-B2
Authenticating electronic financial transactions,US-8608065-B2
Authenticating electronic financial transactions,US-8286865-B2
Authorization request for financial transactions,US-8285637-B2
Automated competitive bidding system and process,US-7430523-B1
Automated creation of multiple provider services,US-8233600-B1
Automated creation of multiple provider services,US-8515036-B2
Automated financial instrument processing system,US-5774879-A
Automated loan risk assessment system and method,US-8458082-B2
Automated loan risk assessment system and method,US-8386378-B2
Automatic strategy grouping for a trading system,US-8577788-B1
Automatic strategy grouping for a trading system,US-8332305-B1
Automatic termination of electronic transactions,US-8060437-B2
Banking system including at least one 3D printer,US-9520034-B1
Benefits contract providing a bundle of benefits,US-8655776-B2
Bid management optimization system and apparatus,US-7788159-B1
Billing system and method for micro-transactions,US-8073774-B2
Business intelligence data reconciliation system,US-7640273-B2
Cash flow optimization using a genetic algorithm,US-7124105-B2
Central credit filtering in computerized trading,US-7533054-B2
Client supported multiple payment methods system,US-8311937-B2
Collecting and aggregating creditworthiness data,US-7580884-B2
Communication terminal device and billing device,US-7869430-B2
Communication terminal device and billing device,US-7974247-B2
Competitive advertising and sales infrastructure,US-8464943-B2
Compliance-to-policy detection method and system,US-6029144-A
Comprehensive healthcare waste assessment system,US-7627487-B2
Comprehensive healthcare waste assessment system,US-8185406-B2
Computer-implemented trademark brokerage network,US-7246046-B2
Computerized commission based trading operations,US-7421403-B2
Computerized method and system for scale trading,US-9830645-B2
Computerized mortgage foreclosure-capping system,US-8666882-B2
Configurable security processor identifier table,US-7974907-B2
Correlation of distributed business transactions,US-8935395-B2
Cost-based technology and manufacturing exchange,US-7685039-B1
Cryptographic currency for securities settlement,US-9704143-B2
Currency-time line transaction system and method,US-7299200-B2
Data processing framework for financial services,US-8498915-B2
Delivery of financial services to remote devices,US-7249344-B1
Derivative securitized index participation notes,US-7848996-B2
Determinations relating to resource distribution,US-8095460-B2
Determining premiums for life insurance policies,US-8332244-B1
Device for interacting with an interface surface,US-7148499-B2
Digital content subscription conditioning system,US-9449299-B2
Digital content subscription conditioning system,US-7505936-B2
Digital media asset conversion system and method,US-8200581-B2
Digitally marked objects and promotional methods,US-8103542-B1
Disposition of component virtual property rights,US-7937314-B2
Dynamic computer software for trading securities,US-7158951-B2
Electronic accounting machine with split display,US-4365314-A
Electronic bearer bond online transaction system,US-8447658-B2
Electronic bearer bond online transaction system,US-7447661-B2
Electronic commerce support method and apparatus,US-6996535-B1
Electronic identifier payment system and methods,US-7092916-B2
Electronic lockbox implementation and management,US-8682788-B2
Electronic transaction receipt system and method,US-8606698-B2
Electronic transaction receipt system and method,US-7552087-B2
Escrow payment to faciliate on-line transactions,US-8452666-B2
Escrow payment to faciliate on-line transactions,US-8112314-B2
Exclusivity bidding for mobile sponsored content,US-8027879-B2
Financial activity based on natural peril events,US-7783543-B2
Financial activity based on natural peril events,US-8266042-B2
Financial instrument and related business method,US-8799133-B2
Financial instrument and related business method,US-7818225-B2
Financial planning document and process therefor,US-7912771-B2
Financial portfolio management system and method,US-8473397-B2
Financial portfolio management system and method,US-7640200-B2
Financial portfolio management system and method,US-8219473-B2
Financial status measurement and management tool,US-8676689-B1
Financial transaction approval system and method,US-8260671-B2
Financial transaction approval system and method,US-7801764-B2
Financial transaction approval system and method,US-8781907-B2
Financial transaction approval system and method,US-7512547-B2
Flexible asset and search recommendation engines,US-8050998-B2
Global asset risk management systems and methods,US-8249886-B2
Global asset risk management systems and methods,US-7590548-B2
Grouping selected transactions in account ledger,US-7263527-B1
Hybrid securities and methods for their issuance,US-7801790-B1
Import/export tax to deal with ad trade deficits,US-7698166-B2
Inferring user risk profile from travel patterns,US-9141975-B2
Installation and method for trading in inflation,US-7747492-B2
Installation and method for trading in inflation,US-7099844-B1
Insurance claim association method and apparatus,US-8447631-B2
Insurance claim association method and apparatus,US-8818826-B2
Insurance file note generation method and system,US-7017111-B1
Integrated resource management system and method,US-6430562-B1
Interactive account management system and method,US-9424609-B2
Interactive account management system and method,US-8321310-B1
Interactive account management system and method,US-8566187-B2
Interactive account management system and method,US-8706579-B2
Interactive account management system and method,US-8160941-B1
Internet transaction and user interface therefor,US-9218619-B2
Internet transaction and user interface therefor,US-8751570-B2
Investment portfolio selection system and method,US-6275814-B1
Item-specific money transfer methods and systems,US-8788408-B2
Lifestyle optimization and behavior modification,US-8606761-B2
Managing a message communication and file system,US-7233961-B2
Managing changes among multiple life cycle plans,US-7680720-B1
Market center based purchasing system and method,US-7363250-B2
Material ordering and reporting expediter (MORE),US-7552059-B2
Merchant activation tracking systems and methods,US-7962405-B2
Method and apparatus for compiling business data,US-7136880-B2
Method and apparatus for dispensing money orders,US-4699532-A
Method and apparatus for dispensing money orders,US-5667315-A
Method and apparatus for dispensing money orders,US-4870596-A
Method and apparatus for on-line trading display,US-7870064-B2
Method and apparatus for on-line trading display,US-7792736-B2
Method and apparatus for sharing healthcare data,US-7865373-B2
Method and apparatus for storage of data records,US-9514152-B2
Method and system for an enhanced payroll report,US-7797211-B1
Method and system for auditing internal controls,US-8504452-B2
Method and system for auditing trucking invoices,US-7590571-B1
Method and system for commercial credit analysis,US-6112190-A
